year	CR_DF	CR_trad
2001	[0.5, 0.5]	[0.5, 0.5]
2002	[0.5, 0.5]	[0.5, 0.5]
2003	[0.5, 0.5]	[0.5, 0.5]
2004	[0.5, 0.5]	[0.5, 0.5]
2005	[0.5, 0.5]	[0.5, 0.5]
2006	[0.5, 0.5]	[0.5, 0.5]
2007	[0.5, 0.5]	[0.5, 0.5]
2008	[0.5, 0.5]	[0.5, 0.5]
2009	[0.5, 0.5]	[0.5, 0.5]
2010	[0.5, 0.5]	[0.5, 0.5]
2011	[0.5, 0.5]	[0.5, 0.5]
2012	[0.5, 0.5]	[0.5, 0.5]
2013	[0.5, 0.5]	[0.5, 0.5]
2014	[0.5, 0.5]	[0.5, 0.5]
2015	[0.5, 0.5]	[0.5, 0.5]
2016	[0.5, 0.5]	[0.5, 0.5]
2017	[0.5, 0.5]	[0.5, 0.5]
2018	[0.5, 0.5]	[0.5, 0.5]
2019	[0.5, 0.5]	[0.5, 0.5]
2020	[0.5, 0.5]	[0.5, 0.5]
